"U.S. Emissions of Methane, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Energy",408.9826641330136,411.3366898670512,405.6235934617608,390.4246358421136,393.489791146032,385.3019268069804,385.6573090093892,385.7474105444848,379.5326362511292,368.148609443944,369.9274211102316,369.3810302188916,361.0920670336308,361.3922807293484,365.067343030796,358.5129016420252,371.6344982993524,368.8924388517312,387.3454908717856,374.6728378901312,372.4048314884688,356.5506891351356,342.4113016273152,351.8369691527516,351.3443107147232,345.1558027986964,320.7434875733424,332.6580417982948,336.1950806302004,321.7199589165632,305.28776871005,293.3165724368796,282.3630370584212
"Agriculture",241.7224407313996,244.3842587065628,247.6686677218684,252.420308845012,257.8084233335016,264.50802240541,263.1289099154212,259.5152120468992,263.767479671822,262.5891744554792,264.2348601825184,261.2522675676732,264.9742686967572,262.0035263706504,256.3509834159904,264.4260033276988,264.9897360821004,273.7171774130444,268.9779269052904,269.826342769074,272.1307894182556,267.869750303876,265.9898961135276,262.641174640124,259.5955488343364,268.9503487651204,277.47822576145,278.8821605944276,285.01227437809,280.2277923501,282.4296230156632,281.8369046635688,276.7900909732
"Waste",220.8835334742176,223.8684911469356,224.028977303992,221.9498354832948,222.0411441664864,216.7158035678608,212.8898012328696,202.5990494214904,192.1190398660848,185.0180443665988,181.4851808613508,176.4040453242312,174.9807015511044,177.6867017877,174.9694075272248,172.445326584202,169.9775839417404,167.6010196044044,165.2162542936304,162.2415760764232,163.0228569114936,153.8264163882684,155.618935942302,151.6858581330008,151.4084724699344,150.2388017498508,146.3302617530516,147.8995649590732,150.230992779714,152.355920619658,147.5976504265424,145.2785379681244,143.1657187711744
"Land use, land-use change, and forestry",53.1260682762264,52.166808989134,50.4832786210536,50.692097440236,52.5836360879396,50.1156433102808,51.8445170472432,49.6927489821644,50.5274872554144,52.4785526965224,55.6925361419504,51.4502605506596,58.0088647598012,55.0759234488512,63.1518447280952,58.5555959690072,54.476578487268,56.9784012685216,53.5482224511472,55.6899477444436,50.8721997135324,53.5685312776712,55.168795269196,55.525949848474,51.6829745973856,63.6920406695272,51.9079953577164,57.678190287046,55.5644292015792,52.5262069882144,59.3032285065836,62.1555045648152,58.3921938399212
"Industrial processes and product use",0.070186177824,0.055972757904,0.060397361696,0.0577109372,0.062508782336,0.060303141248,0.061859299264,0.060044221888,0.058331431872,0.056805556864,0.054382573056,0.046765616576,0.044316247808,0.046446638784,0.04590375552,0.044949510592,0.044052087296,0.044305270912,0.042525283584,0.035210207648,0.040224630208,0.0416238033204,0.0434847676536,0.0414109610068,0.0431251025996,0.0416717729344,0.0385487559184,0.040307818334,0.0427189533232,0.0374672529168,0.0337903221348,0.036137424666,0.0358981862736
"Total",924.7848927926811,931.8122214675876,927.8649144703709,915.5445885478564,925.9855035162955,916.70169923178,913.5823965041873,897.6144652169268,886.0049744763223,868.2911865194085,871.3943808691073,858.5343692780315,859.1002182891016,856.204878975334,859.5854824576264,853.9847770335252,861.1224488977573,867.2333424086136,875.1304198054377,862.4659146877199,858.4709021619583,831.8570109082716,819.2324137199944,821.7313627353573,814.0744317189791,828.0786657561292,796.4985192014789,817.1582654571756,827.0454959429068,806.8673461274525,794.652060980974,782.6236570580539,760.7469388289904
