"U.S. Emissions of Methane, MMT CO2 eq.",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Energy",407.0099906125372,407.3862569619668,403.5038283463208,388.81579850722,391.8806784605384,385.1048535012868,384.3919248518384,383.3694309649988,375.31455097129,363.894399845578,364.7100609629792,364.9172874231024,355.8693838028644,356.02930981737,359.5791451132916,354.6974801325256,365.2711298824756,363.0977747027764,381.435581370298,372.9552433587848,373.898541100014,364.7847577197208,351.2599074855556,363.7556957588288,362.0237141001908,354.3072642408852,324.8237583396484,336.5147550405536,341.69892124039,334.1340582222972,312.03676040964,302.346748062352
"Agriculture",240.4402935210192,242.7717524078896,246.5964248552588,252.2695262239208,257.1191946768788,263.6873918368284,261.9881387056528,258.6887552788728,262.2285282003632,263.1407787099392,262.9048480056348,259.4430133531236,263.2696459986796,260.444185071168,255.9723839238552,263.7252983402268,263.1317792265064,272.6164268670976,267.8518290516684,267.9837148463328,271.0950677881404,264.8601366373844,264.3912708947944,259.2364261058824,258.4572360956796,266.5591185276824,274.0279830078112,277.4997853566568,281.207768973068,280.3725811451684,281.0179074830316,278.2254052808468
"Waste",220.8990311655316,223.8866309767612,224.0526018978772,221.977490643468,222.0755901327796,216.75428723242,212.9281067241524,202.637123844638,192.1609942039592,185.0734756415132,181.5367326698828,176.4588899949736,175.0407301117804,177.7470295844712,175.033081803986,172.5077970810712,170.0440239151416,167.6681924235192,165.2920527311396,162.3241784212804,163.1029091827632,153.8731062785672,155.6256230983944,151.6866601222532,151.3899052567692,150.220320535978,146.2685453120164,148.326492436444,150.755586300214,152.8662788215528,148.8252818458784,146.4313756024504
"Land use, land-use change, and forestry",53.506193101998,52.9958601620476,51.2245767051088,51.246258872704,53.5878013077372,50.8477588543932,52.62431957209,50.5202776101968,51.432078541802,54.1330756983968,58.2431830599472,52.7110821725992,60.943843427502,56.5586305782792,66.7565514763168,61.323597036226,56.4961561757796,59.6384411307328,54.8249327487148,57.8559867483948,52.198024793754,55.7421358071564,56.9590302827448,57.218760324502,53.2354063118472,67.0044450570684,53.8855497895876,60.0665095231908,57.3480418045052,56.8842712233236,65.4160810956604,65.9704648783908
"Industrial processes and product use",0.311686177824,0.310352757904,0.296745361696,0.3645769372,0.378390782336,0.395827141248,0.423143299264,0.445156221888,0.438291431872,0.423241556864,0.374450573056,0.263793616576,0.270682247808,0.266050638784,0.22815575552,0.123839510592,0.092030087296,0.095825270912,0.090503283584,0.085120207648,0.087236630208,0.0867038033204,0.1075627676536,0.1209449610068,0.1786871025996,0.2390577729344,0.3122487559184,0.316905818334,0.3775989533232,0.4064792529168,0.3686703210344,0.4412134247192
"Total",922.1671945789099,927.3508532665693,925.6741771662615,914.6736511845128,925.0416553602699,916.7901185661764,912.3556331529976,895.6607439205945,881.5744433492863,866.6649714522912,867.7692752715,853.7940665603747,855.3942855886344,851.0452056900724,857.5693180729695,852.3780121006416,855.0351192871991,863.1166603950379,869.4948991854047,861.2042435824408,860.3817794948795,839.3468402461491,828.3433945291428,832.0184872724732,825.2849488670864,838.3302061345485,799.318085204982,822.7244481751792,831.3879172715003,824.6636686652588,807.6647011552449,793.4152072487592
